Código Unb;Armazém;Código Região;Id Catálogo;Nome Catálogo;Código;Descrição;Ativo;Item Geral;Geral para regiões;Retornável;Descartavel;Camadas;Quantidade Palete;Quantidade Palete Dúzia;Fator;Código embalagem;Código tipo embalagem;Embalagem;Grupo;Subgrupo;Embalagem/Tipo produto;Altura do palete;Quantidade de Lastros/Camadas;Largura do item;Altura do item;Comprimento do item;Peso bruto do item;Base palete;Topo Palete;Barril;Água/Isotônico;Tipo Caixa;Quantidade de unidades por caixa;Fator14;Quantidade14;Fator21;Quantidade21;Fator28;Quantidade28;Fator35;Quantidade35;Fator42;Quantidade42;Código subtipo;Descrição subtipo;Ocupação extra;Pré-picking Marketplace
16;CD Oruro;;12.0;SAZ - Bolivia;170;IMPERIAL 620CC RET X12;True;False;True;True;False;6;66;66;12.0;1200.0;1200.0;GRB 620 - 710;1.0;1200.0;1200 - GRB 620 - 710 (Tipo: 1200 - GRB 620 - 710);1.0;1;1.0;1.0;1.0;1.0;False;False;False;False;;;0.4516;62.0;0.6667;63.0;0.875;64.0;1.0769;65.0;1.2727;66.0;;;False;False
;;1000;12.0;SAZ - Bolivia;175;IMPERIAL 1L RET X12;True;False;True;True;False;5;50;50;12.0;1300.0;1300.0;GRB 1000n;10.0;1300.0;1300 - GRB 1000n (Tipo: 1300 - GRB 1000n);1.0;10;1.0;1.0;1.0;22.9;False;False;False;False;;;2.8;10.0;2.1;20.0;1.8667;30.0;1.4;50.0;1.68;50.0;;;False;False
;;;2.0;Brasil;195;SEVEN UP LATA 350ML BANDEJA C/24;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;1000;12.0;SAZ - Bolivia;205;TAQUIÑA VERDE 620CC RET X12;True;False;True;True;False;6;66;66;12.0;1200.0;1200.0;GRB 620 - 710n;10.0;1200.0;1200 - GRB 620 - 710n (Tipo: 1200 - GRB 620 - 710n);1.0;11;1.0;1.0;1.0;14.9;False;False;False;False;;;1.2727;22.0;1.2727;33.0;1.2727;44.0;1.2727;55.0;1.2727;66.0;;;False;False
;;;2.0;Brasil;232;TEEM PET 2L CAIXA C/8                             ;True;True;False;False;True;5;75;75;8.0;5006.0;5006.0;Pet 2 L;50.0;5006.0;5006 - Pet 2 L (Tipo: 5006 - Pet 2 L);1.8;15;20.6;37.0;41.2;16.95;False;False;False;False;;;1.8667;15.0;1.4;30.0;1.2444;45.0;1.1667;60.0;1.12;75.0;;;False;False
;;;2.0;Brasil;253;SUKITA PET 1L CAIXA C/6;True;True;False;False;True;7;175;175;6.0;5002.0;5002.0;Pet 1,0L + àgua 330;50.0;5002.0;5002 - Pet 1,0L + àgua 330 (Tipo: 5002 - Pet 1,0L + àgua 330);1.87;25;18.0;24.1;27.0;6.45;False;False;False;False;;;0.56;50.0;0.42;100.0;0.448;125.0;0.4667;150.0;0.48;175.0;;;False;False
95;CDD-Minas;;2.0;Brasil;253;SUKITA PET 1L CAIXA C/6;True;False;False;False;False;7;175;175;6.0;5002.0;5002.0;Pet 1,0L + àgua 330;50.0;5002.0;5002 - Pet 1,0L + àgua 330 (Tipo: 5002 - Pet 1,0L + àgua 330);1.87;25;18.0;24.1;27.0;6.45;False;True;False;False;;;0.56;50.0;0.42;100.0;0.448;125.0;0.4667;150.0;0.48;175.0;;;False;False
632;CDL Sta Luzia - BP;;2.0;Brasil;253;SUKITA PET 1L CAIXA C/6;True;False;False;False;True;7;175;175;6.0;5002.0;5002.0;Pet 1,0L + àgua 330;50.0;5002.0;5002 - Pet 1,0L + àgua 330 (Tipo: 5002 - Pet 1,0L + àgua 330);1.87;25;18.0;24.1;27.0;6.45;False;False;False;False;;;0.56;50.0;0.42;100.0;0.448;125.0;0.4667;150.0;0.48;175.0;;;False;False
576;CDD-Uberlandia;;2.0;Brasil;253;SUKITA PET 1L CAIXA C/6;True;False;False;False;False;7;175;175;6.0;5002.0;5002.0;Pet 1,0L + àgua 330;50.0;5002.0;5002 - Pet 1,0L + àgua 330 (Tipo: 5002 - Pet 1,0L + àgua 330);1.87;25;18.0;24.1;27.0;6.45;False;True;False;False;;;0.56;50.0;0.42;100.0;0.448;125.0;0.4667;150.0;0.48;175.0;;;False;False
495;CDL-Itaperuna;;2.0;Brasil;253;SUKITA PET 1L CAIXA C/6;True;False;False;False;True;7;175;175;6.0;5002.0;5002.0;Pet 1,0L + àgua 330;50.0;5002.0;5002 - Pet 1,0L + àgua 330 (Tipo: 5002 - Pet 1,0L + àgua 330);1.87;25;18.0;24.1;27.0;6.45;False;False;False;False;;;0.56;50.0;0.42;100.0;0.448;125.0;0.4667;150.0;0.48;175.0;;;False;False
