Descrição;Descrição Reduzida;Código;Código Reduzido;Controle de Lote;Controle de Data de Expiração;Solicita Data de Fabricação;Vida Útil;Janela de Expiração;Peso;Item de Conversão;Chapatex;Palete;Tipo;Classificação;Nome da classe do produto;Nome do Armazém;Nome do Catálogo;Ativo;Código de barras;Curva;Largura;Altura;Comprimento;Porcentagem Mínima de Vida Útil;Porcentagem de pré-bloqueio
TERMOPOT COPO DESCARTAVEL CR COPO PL 180ML SC C100;TERMOP COP180ML;35850;35850;False;False;False;;;4,05;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
TERMOPOT COPO DESCARTAVEL CR COPO PL 200ML SC C100;TERMOP COP200ML;35854;35854;False;False;False;;;5,034;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
TERMOPOT COPO DESCARTAVEL CR COPO PL 300ML SC100 C;TERMOP CO300MLC;35856;35856;False;False;False;;;5,034;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS CHEETOS ONDA REQUEIJAO PCTE 40G;ELCONR PCTE40G;35857;35857;False;False;False;;;0,042;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS FANDANGOS PRESUNTO PCTE 35 G;ELCHIPFAP PACTE;35858;35858;False;False;False;;;0,037;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS FANDANGOS QUEIJO PCTE 35 G;ELCHFZQJ PACTE3;35859;35859;False;False;False;;;0,037;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
Item-Teste;Item;555666777;555;False;False;False;0;0;0;True;False;False;Retornável;Produto Acabado;" CZA RET MAIN 1000";;Brasil;True;;;0;0;0;0;0
ELMA CHIPS CHEETOS ONDA REQUEIJAO PCTE 105G;ELCONR PCTE105G;35860;35860;False;False;False;;;0,109;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS FANDANGOS PRESUNTO PCTE 105G;ELCHIPFAP PCTE1;35861;35861;False;False;False;;;0,109;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS FANDANGOS QUEIJO PCTE 105G;ELCHFZQJ PCTE10;35862;35862;False;False;False;;;0,109;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS CHEETOS MIX PCTE 82G;ELCHCMI PCTE82G;35863;35863;False;False;False;;;0,087;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS CHEETOS LUA PCTE 95G;ELCHLUA PCTE95G;35871;35871;False;False;False;;;0,099;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS DORITOS KETCHUP PCTE 37G;ELMCHDORKET PCT;35881;35881;False;False;False;;;0,039;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS BAT PALHA NA MESA TRAD PCTE 100G;ECBPNMET PCTE10;35882;35882;False;False;False;;;0,104;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS RUFFLES TUBO T ONDA CREAM PCTE 100G;ELCRTTOCR PCTE1;35883;35883;False;False;False;;;0,133;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BEATS GREEN MIX LN 269ML SIX PACK;BTGREENMIX LN26;35884;35884;False;False;False;;;2,85;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;7891991308021;;;;;;
BRAHMA CHOPP LT 269ML SH C 15 EXPORTACAO URUGUAI;BC LT269MLSHC15;35886;35886;False;False;False;;;4,2;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS PINGO D OURO BACON PCTE 76G;ELCHDOUBAC PCTE;35887;35887;False;False;False;;;0,078;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;7892840823078;;;;;;
ELMA CHIPS PINGO DOURO PICANHA PCTE 55G;ELCPDPI PCTE55G;35888;35888;False;False;False;;;0,057;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;7892840823092;;;;;;
PIRAQUE BISC LEITE MALTADO E COCO PCT PLAST 132G C;PIRBLMC PCPL132;35890;35890;False;False;False;;;6,91;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
PIRAQUE SALG. PRESUNTINHO PCT 138G CX C/36;PIRSP PC138GCXC;35892;35892;False;False;False;;;5,51;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;17896024761870;;;;;;
OLIMPO DESINFETANTE MARINE FRASCO PLAST 2L CX6;OLDESMA FRASCPL;35908;35908;False;False;False;;;13,1;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX DESINFETANTE TRANSL LAVANDA FRASCO PLAST 2L;BRIDETRLA FRASC;35910;35910;False;False;False;;;13,1;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
"BRILUX DESINFETANTE TRANSL MARINE FRASCO PLAST 2L ";BRIDETRMA FRASC;35912;35912;False;False;False;;;13,1;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
NATURAL ONE LARANJA MACA GFA PLAST 180ML CX C6;NATOLAMA GFAPL1;35914;35914;False;False;False;;;1,203;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
GUARAVITON CATUABA_ PET 500ML CAIXA C/12;GUACATU PT500 C;9641;9641;False;False;False;;;6,48;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;17898923217212;;;;;;
STELLA NECKRETO 205G 330ML VR 330ML VR;STNK205VR 330ML;35916;35916;False;False;False;;;1;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;1;;;;;;
"COPOBRAS COPO PL DESC TRANSP PCT PL C50 COP 300ML ";CPPLTR PC50COP3;35917;35917;False;False;False;;;4,15;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
GUARAVITON CATUABA GFA PET 500ML PACK C/12;GUARVCAT GFAP50;35919;35919;False;False;False;;;6,365;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;17898923217212;;;;;;
CONC COMP KR30.04.FE1785 KIT;COCOMPKR3004178;35920;35920;False;False;False;;;1;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
CONC COMP AR10.20.FE1711 KIT;COCOMPAR1020 K;35921;35921;False;False;False;;;1;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
